"id","answer","query","d1A","d2A","d3A","d4A","d5A","d1B","d2B","d3B","d4B","d5B","DCGlzA","DCGlzB","DCGll2A","DCGll2B","DCGll3A","DCGll3B","DCGll5A","DCGll5B","DCGllA","DCGllB","DCGlnA","DCGlnB","DCGe2zA","DCGe2zB","DCGe2l2A","DCGe2l2B","DCGe2l3A","DCGe2l3B","DCGe2l5A","DCGe2l5B","DCGe2lA","DCGe2lB","DCGe2nA","DCGe2nB","DCGe3zA","DCGe3zB","DCGe3l2A","DCGe3l2B","DCGe3l3A","DCGe3l3B","DCGe3l5A","DCGe3l5B","DCGe3lA","DCGe3lB","DCGe3nA","DCGe3nB","DCGe5zA","DCGe5zB","DCGe5l2A","DCGe5l2B","DCGe5l3A","DCGe5l3B","DCGe5l5A","DCGe5l5B","DCGe5lA","DCGe5lB","DCGe5nA","DCGe5nB","DCGb1zA","DCGb1zB","DCGb1l2A","DCGb1l2B","DCGb1l3A","DCGb1l3B","DCGb1l5A","DCGb1l5B","DCGb1lA","DCGb1lB","DCGb1nA","DCGb1nB","DCGb2zA","DCGb2zB","DCGb2l2A","DCGb2l2B","DCGb2l3A","DCGb2l3B","DCGb2l5A","DCGb2l5B","DCGb2lA","DCGb2lB","DCGb2nA","DCGb2nB","comments"
1,"a","e016650","e018317","e005040","e018873","e009172","e005892","d000849","e007254","e005772","e004456","e014231",1,0.281,1,0.33,1,0.363,1,0.382,1,0.333,1,0.4,1,0.187,1,0.22,1,0.242,1,0.255,1,0.222,1,0.267,1,0.141,1,0.165,1,0.182,1,0.191,1,0.167,1,0.2,1,0.094,1,0.11,1,0.121,1,0.127,1,0.111,1,0.133,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,1,0,1,0,1,0,1,0,1,0,1,0,""
2,"b","b013451","d018936","b003845","b006331","b005032","b002137","b005659","b009939","b013065","b010813","d018936",0.142,0.438,0.204,0.339,0.238,0.274,0.265,0.236,0.133,0.333,0.3,0.2,0.124,0.438,0.18,0.339,0.211,0.274,0.234,0.236,0.111,0.333,0.267,0.2,0.115,0.438,0.168,0.339,0.197,0.274,0.219,0.236,0.1,0.333,0.25,0.2,0.106,0.438,0.156,0.339,0.183,0.274,0.204,0.236,0.089,0.333,0.233,0.2,0.197,0.438,0.277,0.339,0.322,0.274,0.356,0.236,0.2,0.333,0.4,0.2,0.088,0.438,0.131,0.339,0.155,0.274,0.173,0.236,0.067,0.333,0.2,0.2,""
3,"a","b008450","b005832","b012741","b004419","e006110","b015364","d017831","e012157","b011104","d003108","e016799",0.664,0.073,0.597,0.085,0.553,0.093,0.527,0.098,0.6,0.1,0.5,0.1,0.589,0.049,0.511,0.057,0.46,0.062,0.43,0.065,0.511,0.067,0.4,0.067,0.551,0.036,0.468,0.042,0.413,0.047,0.382,0.049,0.467,0.05,0.35,0.05,0.513,0.024,0.425,0.028,0.367,0.031,0.333,0.033,0.422,0.033,0.3,0.033,0.891,0.146,0.854,0.17,0.832,0.187,0.817,0.195,0.867,0.2,0.8,0.2,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,""
4,"b","b003741","a005143","b003775","b008210","d016271","b004742","e010393","a005143","a000507","b007786","a002588",0.763,1,0.735,1,0.714,1,0.705,1,0.7,1,0.7,1,0.684,1,0.647,1,0.619,1,0.606,1,0.6,1,0.6,1,0.644,1,0.603,1,0.571,1,0.557,1,0.55,1,0.55,1,0.605,1,0.559,1,0.524,1,0.508,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.526,1,0.47,1,0.428,1,0.409,1,0.4,1,0.4,1,""
5,"bad","e015590","e004994","e010791","a002491","e002382","e013577","e014597","a002491","e003753","e002783","e017379",0.956,0.493,0.934,0.457,0.923,0.438,0.913,0.422,0.967,0.5,0.9,0.4,0.942,0.401,0.913,0.376,0.897,0.364,0.885,0.352,0.956,0.422,0.867,0.333,0.934,0.356,0.902,0.335,0.884,0.327,0.87,0.317,0.95,0.383,0.85,0.3,0.927,0.31,0.891,0.295,0.871,0.291,0.856,0.282,0.944,0.344,0.833,0.267,1,0.766,1,0.699,1,0.659,1,0.631,1,0.733,1,0.6,0.912,0.219,0.869,0.214,0.845,0.217,0.827,0.212,0.933,0.267,0.8,0.2,""
6,"good","d016084","d011612","d016296","d001270","d004050","d000602","d015484","d019886","d012986","d002981","d009960",0.274,0.891,0.243,0.893,0.221,0.892,0.21,0.894,0.233,0.867,0.2,0.9,0.182,0.854,0.162,0.857,0.147,0.855,0.14,0.858,0.156,0.822,0.133,0.867,0.137,0.836,0.121,0.84,0.11,0.837,0.105,0.841,0.117,0.8,0.1,0.85,0.091,0.818,0.081,0.822,0.074,0.819,0.07,0.823,0.078,0.778,0.067,0.833,0.547,1,0.485,1,0.442,1,0.419,1,0.467,1,0.4,1,0,0.781,0,0.786,0,0.783,0,0.788,0,0.733,0,0.8,""
7,"good","f000987","b003001","f018057","a004610","f009343","a001305","a001305","b003001","b012621","a008167","b007839",0.945,0.785,0.927,0.711,0.916,0.668,0.909,0.638,0.933,0.767,0.9,0.6,0.927,0.742,0.903,0.658,0.888,0.609,0.878,0.575,0.911,0.711,0.867,0.533,0.918,0.721,0.89,0.632,0.874,0.579,0.863,0.543,0.9,0.683,0.85,0.5,0.909,0.7,0.878,0.606,0.86,0.55,0.848,0.512,0.889,0.656,0.833,0.467,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,0.891,0.657,0.854,0.553,0.832,0.491,0.817,0.449,0.867,0.6,0.8,0.4,""
8,"b","a002038","e000588","b013162","a004055","b008777","f012103","a004683","b008816","a003014","a002861","a003534",0.182,0.438,0.192,0.423,0.202,0.413,0.204,0.407,0.233,0.433,0.2,0.4,0.122,0.328,0.128,0.33,0.135,0.331,0.136,0.332,0.156,0.333,0.133,0.333,0.091,0.274,0.096,0.284,0.101,0.291,0.102,0.295,0.117,0.283,0.1,0.3,0.061,0.219,0.064,0.238,0.067,0.25,0.068,0.258,0.078,0.233,0.067,0.267,0.365,0.766,0.384,0.699,0.404,0.659,0.408,0.631,0.467,0.733,0.4,0.6,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,""
9,"b","d019802","d012214","d003648","d010861","d007272","d013579","d006340","d017998","e002733","d010304","d003269",0.891,0.044,0.854,0.066,0.832,0.077,0.817,0.087,0.867,0.033,0.8,0.1,0.891,0.029,0.854,0.044,0.832,0.052,0.817,0.058,0.867,0.022,0.8,0.067,0.891,0.022,0.854,0.033,0.832,0.039,0.817,0.043,0.867,0.017,0.8,0.05,0.891,0.015,0.854,0.022,0.832,0.026,0.817,0.029,0.867,0.011,0.8,0.033,0.891,0.088,0.854,0.131,0.832,0.155,0.817,0.173,0.867,0.067,0.8,0.2,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,""
10,"b","b008878","d007559","d006590","d015695","d008733","d007514","b011547","e003228","b012270","e003166","e001523",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
