"type","value","discount","gain"
"b1",0.135538868486958,"z","b2"
"b2",0.223008473069159,"z","b2"
"b1",0.109698581580759,"z","b1"
"b2",0.192121658274559,"z","b1"
"b1",0.132007616366477,"z","e5"
"b2",0.2022505664795,"z","e5"
"b1",0.121619970453374,"z","e3"
"b2",0.190953317702274,"z","e3"
"b1",0.108151176562491,"z","e2"
"b2",0.180932621373576,"z","e2"
"b1",0.0795258074447773,"z","l"
"b2",0.16731406219387,"z","l"
"b1",0.134929170336866,"l","b2"
"b2",0.21411159853338,"l","b2"
"b1",0.104205047611648,"l","b1"
"b2",0.186925494034098,"l","b1"
"b1",0.127891591886303,"l","e5"
"b2",0.193113075899485,"l","e5"
"b1",0.117303322902995,"l","e3"
"b2",0.182287777924532,"l","e3"
"b1",0.104074742214091,"l","e2"
"b2",0.172874786403187,"l","e2"
"b1",0.0760023636357162,"l","l"
"b2",0.160549250770231,"l","l"
"b1",0.128087843491189,"l2","b2"
"b2",0.205762900011098,"l2","b2"
"b1",0.108405686467594,"l2","b1"
"b2",0.180335339725854,"l2","b1"
"b1",0.119467537197145,"l2","e5"
"b2",0.184894490907891,"l2","e5"
"b1",0.108588718312476,"l2","e3"
"b2",0.174158946317441,"l2","e3"
"b1",0.0952101808882252,"l2","e2"
"b2",0.164774460884169,"l2","e2"
"b1",0.0668674957560544,"l2","l"
"b2",0.152504021781264,"l2","l"
"b1",0.125468297076007,"l3","b2"
"b2",0.19942697686319,"l3","b2"
"b1",0.10859697750276,"l3","b1"
"b2",0.176976723274321,"l3","b1"
"b1",0.114813199071882,"l3","e5"
"b2",0.1785282840466,"l3","e5"
"b1",0.103688498966992,"l3","e3"
"b2",0.168077643831075,"l3","e3"
"b1",0.0902392714098217,"l3","e2"
"b2",0.159043211680636,"l3","e2"
"b1",0.0620886575216546,"l3","l"
"b2",0.147664861282845,"l3","l"
"b1",0.123744150916891,"l5","b2"
"b2",0.197269024628764,"l5","b2"
"b1",0.109965047379867,"l5","b1"
"b2",0.176626352425212,"l5","b1"
"b1",0.112232974455753,"l5","e5"
"b2",0.176391314346542,"l5","e5"
"b1",0.101006473880873,"l5","e3"
"b2",0.166045280690672,"l5","e3"
"b1",0.0875734859940056,"l5","e2"
"b2",0.157122379147817,"l5","e2"
"b1",0.0595827429191617,"l5","l"
"b2",0.146048670210952,"l5","l"
"b1",0.121235478516749,"n","b2"
"b2",0.19606462379852,"n","b2"
"b1",0.112381953064806,"n","b1"
"b2",0.177467907164792,"n","b1"
"b1",0.109189053928956,"n","e5"
"b2",0.175344754878716,"n","e5"
"b1",0.0979356436531578,"n","e3"
"b2",0.165128643353649,"n","e3"
"b1",0.0845785640316082,"n","e2"
"b2",0.156371472268774,"n","e2"
"b1",0.0571669423679393,"n","l"
"b2",0.145609688002037,"n","l"
"b3",0.533094204408192,"z","b2"
"b3",0.509262828085695,"z","b1"
"b3",0.503143598692452,"z","e5"
"b3",0.496157614788125,"z","e3"
"b3",0.49045214480007,"z","e2"
"b3",0.484849453505222,"z","l"
"b3",0.515555662088047,"l","b2"
"b3",0.50046150131551,"l","b1"
"b3",0.488505437477026,"l","e5"
"b3",0.482440664672538,"l","e3"
"b3",0.477692334645921,"l","e2"
"b3",0.473125549845697,"l","l"
"b3",0.508729273953872,"l2","b2"
"b3",0.491731160152665,"l2","b1"
"b3",0.481281678148729,"l2","e5"
"b3",0.474483218051608,"l2","e3"
"b3",0.469190086322831,"l2","e2"
"b3",0.464130445841462,"l2","l"
"b3",0.496409390993976,"l3","b2"
"b3",0.485401422307096,"l3","b1"
"b3",0.470916172111188,"l3","e5"
"b3",0.464662195795908,"l3","e3"
"b3",0.459259432867446,"l3","e2"
"b3",0.455517081982585,"l3","l"
"b3",0.491255926497683,"l5","b2"
"b3",0.483168441298444,"l5","b1"
"b3",0.466339769524,"l5","e5"
"b3",0.460309746385689,"l5","e3"
"b3",0.455346061268779,"l5","e2"
"b3",0.451671544861478,"l5","l"
"b3",0.49173899270855,"n","b2"
"b3",0.487005816209364,"n","b1"
"b3",0.46427776031676,"n","e5"
"b3",0.458496714428632,"n","e3"
"b3",0.454135762721958,"n","e2"
"b3",0.450703181682318,"n","l"
